id,title,release_date,budget,revenue,actor/actress,genres,belongs_to_collection,runtime
2619,Splash,1984-03-09,8000000,69821334,Tom Hanks,"['Comedy', 'Fantasy', 'Romance']",True,111
12309,Bachelor Party,1984-06-29,6000000,38435947,Tom Hanks,['Comedy'],True,105
594,The Terminal,2004-06-17,60000000,219417255,Tom Hanks,"['Comedy', 'Drama']",False,128
11974,The 'Burbs,1989-02-17,18000000,36602000,Tom Hanks,"['Comedy', 'Horror', 'Thriller']",False,102
9489,You've Got Mail,1998-12-17,65000000,250821495,Tom Hanks,"['Comedy', 'Romance']",False,119
6951,Turner & Hooch,1989-07-28,13000000,71079915,Tom Hanks,"['Action', 'Comedy', 'Thriller', 'Crime', 'Family']",False,100
2280,Big,1988-06-03,18000000,151668774,Tom Hanks,"['Fantasy', 'Drama', 'Comedy', 'Romance', 'Family']",False,104
270010,A Hologram for the King,2016-04-22,30000000,4212494,Tom Hanks,"['Comedy', 'Drama']",False,97
11287,A League of Their Own,1992-07-01,40000000,132440069,Tom Hanks,"['Comedy', 'Drama']",False,128
77887,Hawaiian Vacation,2011-06-16,0,0,Tom Hanks,"['Animation', 'Family', 'TV Movie', 'Comedy']",False,6
10466,The Money Pit,1986-03-15,10000000,54999651,Tom Hanks,"['Comedy', 'Romance']",False,91
256835,Toy Story That Time Forgot,2014-12-02,0,0,Tom Hanks,"['Animation', 'Family', 'TV Movie', 'Adventure', 'Comedy', 'Fantasy']",False,22
140823,Saving Mr. Banks,2013-11-16,35000000,112544580,Tom Hanks,"['Comedy', 'Drama', 'History']",False,125
612460,Peter's To-Do List,2019-09-17,0,0,Tom Holland,"['Action', 'Science Fiction', 'Adventure', 'Comedy']",False,3
508439,Onward,2020-03-04,0,0,Tom Holland,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Adventure']",False,
448119,Dolittle,2020-01-17,175000000,0,Tom Holland,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Action']",False,
414017,Tweet,2015-06-15,0,0,Tom Holland,['Comedy'],False,3
284053,Thor: Ragnarok,2017-10-25,180000000,853977126,Tom Hiddleston,"['Action', 'Adventure', 'Comedy', 'Fantasy']",True,131
387592,Early Man,2018-01-26,50000000,53431158,Tom Hiddleston,"['Family', 'Comedy', 'Animation', 'Adventure']",False,89
59436,Midnight in Paris,2011-05-11,30000000,151119219,Tom Hiddleston,"['Fantasy', 'Comedy', 'Romance']",False,94
145220,Muppets Most Wanted,2014-03-20,50000000,80383290,Tom Hiddleston,"['Comedy', 'Adventure', 'Crime', 'Family']",True,112
539572,Leading Lady Parts,2018-07-30,0,0,Tom Hiddleston,['Comedy'],False,11
194952,Friend Request Pending,2011-10-13,7500,0,Tom Hiddleston,"['Comedy', 'Drama']",False,12
136066,Stars In Shorts,2012-09-28,0,0,Tom Hiddleston,['Comedy'],False,107
